  PID TTY      STAT   TIME COMMAND
19002 ?        S      0:00 /usr/libexec/gdm-user-switch-applet --oaf-activate-iid=OAFIID:GNOME_FastUserSwitchApplet_Factory --oaf-ior-fd=28
19007 ?        Ss     0:00 gnome-screensaver
19017 ?        S      0:00 [flush-0:35]
19042 ?        S      0:00 /usr/libexec/gvfsd-metadata
19086 ?        S      0:00 /usr/libexec/gvfsd-burn --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
19403 ?        Sl     8:34 /usr/lib64/firefox/firefox
19691 pts/0    T      0:00 ./lsh
20032 ?        Sl     1:47 /usr/lib64/xulrunner/plugin-container /usr/lib64/flash-plugin/libflashplayer.so -greomni /usr/lib64/xulrunner/omni.ja -appomni /usr/lib64/firefox/omni.ja 19403 plugin
20994 pts/0    T      0:00 ./lsh
21160 pts/0    T      0:00 wc -l
21161 pts/0    T      0:00 wc -l
22529 pts/0    T      0:00 ./lsh
24451 ?        S      0:00 pickup -l -t fifo -u
24584 pts/0    T      0:00 ./lsh
24744 pts/0    T      0:00 wc -l
24745 pts/0    R     82:51 ./lsh
25614 pts/0    T      0:00 man execvp
25621 pts/0    T      0:00 sh -c (cd "/usr/share/man" && (echo ".pl 1100i"; /usr/bin/gunzip -c '/usr/share/man/man3/exec.3.gz'; echo ".\\\""; echo ".pl \n(nlu+10") | /usr/bin/gtbl | /usr/bin/nroff -c -mandoc 2>/dev/null | /usr/bin/less -is)
25622 pts/0    T      0:00 sh -c (cd "/usr/share/man" && (echo ".pl 1100i"; /usr/bin/gunzip -c '/usr/share/man/man3/exec.3.gz'; echo ".\\\""; echo ".pl \n(nlu+10") | /usr/bin/gtbl | /usr/bin/nroff -c -mandoc 2>/dev/null | /usr/bin/less -is)
25627 pts/0    T      0:00 /usr/bin/less -is
26115 pts/0    T      0:00 ./lsh
27108 pts/0    T      0:00 ./lsh
30136 pts/0    T      0:00 ./lsh
30404 pts/0    T      0:00 wc -l
30405 pts/0    T      0:00 wc -l
30409 pts/0    T      0:00 ./lsh
30831 pts/1    Ss     0:00 /bin/bash
31170 pts/0    T      0:00 ./lsh
31455 pts/0    T      0:00 ./lsh
31803 pts/0    T      0:00 ./lsh
32464 pts/0    T      0:00 wc
32668 pts/1    T      0:00 wc
